dateReferentiel;route;pr;depPr;concessionPr;abs;cumul;x;y;z;cote; Echangeur ; Type ; Nom gare ; Site ;Departement;Gestionnaire
01/01/2019;A0001;27;95;C;873;27748;667208,81;6887489,88;0;D;;Gare sur bretelle d'echangeur                                                                       ;SAINT WITZ (ENTREE);Gare isolee;95;SANEF
01/01/2019;A0001;42;60;C;426;42301;671659,72;6900724,84;0;I;SENLIS SUD;Sur echangeur (diffuseur)                                                                           ;SENLIS BONSECOURS;Gare isolee;60;SANEF
01/01/2019;A0001;44;60;C;120;43995;672895,5;6901827,49;0;I;;Barriere pleine voie sur l autoroute;CHAMANT;Gare principale d'un site de plusieurs gares;60;SANEF
01/01/2019;A0001;44;60;C;120;43995;672895,5;6901827,49;0;I;;Gare sur bretelle d echangeur                                                                       ;SENLIS NORD(ENTREE);Gare secondaire d'un site de plusieurs gares;60;SANEF
01/01/2019;A0001;44;60;C;120;43995;672895,5;6901827,49;0;I;;Gare sur bretelle d echangeur                                                                       ;SENLIS NORD(SORTIE);Gare secondaire d'un site de plusieurs gares;60;SANEF
01/01/2019;A0001;57;60;C;740;57615;677269,45;6913464,74;0;I;CHEVRIERES;Sur echangeur (diffuseur)                                                                           ;CHEVRIERES;Gare isolee;60;SANEF
01/01/2019;A0001;66;60;C;470;66345;678031,43;6921983,31;0;I;ARSY;Sur echangeur (diffuseur)                                                                           ;ARSY;Gare isolee;60;SANEF
01/01/2019;A0001;80;60;C;540;80415;679798,32;6935802,34;0;I;RESSONS;Sur echangeur (diffuseur)                                                                           ;RESSONS;Gare isolee;60;SANEF
01/01/2019;A0001;101;80;C;300;101175;683521,04;6956093,57;0;I;ROYE;Sur echangeur (diffuseur)                                                                           ;ROYE;Gare isolee;80;SANEF
01/01/2019;A0001;121;80;C;480;121355;688279,1;6975581,74;0;I;VALLEE DE LA SOMME;Sur echangeur (diffuseur)                                                                           ;VALLEE DE LA SOMME;Gare isolee;80;SANEF
01/01/2019;A0001;131;80;C;880;131755;690074,87;6985704,67;0;I;MAUREPAS (ALBERT-PERONNE);Sur echangeur (diffuseur)                                                                           ;MAUREPAS                                ;Gare isolee;80;SANEF
01/01/2019;A0001;146;62;C;870;146745;690810,69;7000337,35;0;I;BAPAUME;Sur echangeur (diffuseur)                                                                           ;BAPAUME;Gare isolee;62;SANEF
01/01/2019;A0001;165;62;C;984;165859;690643,39;7019124,53;0;I;L'ARRAGEOIS;Sur echangeur (diffuseur)                                                                           ;L'ARRAGEOIS;Gare isolee;62;SANEF
01/01/2019;A0001;174;62;C;60;173935;694411,06;7026214;0;I;;Barriere pleine voie sur l autoroute;FRESNES LES MONTAUBAN;Gare isolee;62;SANEF
01/01/2019;A0001;27;95;C;873;27845;667191,36;6887488,93;0;G;;Gare sur bretelle d echangeur                                                                       ;SAINT WITZ (SORTIE);Gare isolee;95;SANEF
01/01/2019;A0002;29;59;C;314;29314;713257,98;7008860,47;0;I;FONTAINE NOTRE DAME;Sur echangeur (diffuseur)                                                                           ;FONTAINE NOTRE DAME;Gare isolee;59;SANEF
01/01/2019;A0002;42;59;C;323;42323;722883,41;7017244,42;0;I;;Barriere pleine voie sur l autoroute;HORDAIN-THUN L'EVEQUE;Gare isolee;59;SANEF
01/01/2019;A0004;35;77;C;61;35142;688139,08;6861527,67;0;I;;Barriere pleine voie sur l autoroute;COUTEVROULT;Gare isolee;77;SANEF
01/01/2019;A0004;54;77;C;174;54255;703123,88;6872380,35;0;I;;Gare sur bretelle d echangeur                                                                       ;SAINT JEAN LES DEUX JUMEAUX;Gare isolee;77;SANEF
01/01/2019;A0004;64;77;C;779;64860;710998,76;6879163,55;0;I;MONTREUIL AUX LIONS;Sur echangeur (diffuseur)                                                                           ;MONTREUIL AUX LIONS;Gare isolee;77;SANEF
01/01/2019;A0004;65;77;C;200;65281;711305,48;6879450,57;0;I;;Barriere pleine voie sur l autoroute;MONTREUIL AUX LIONS;Gare isolee;77;SANEF
01/01/2019;A0004;85;2;C;710;85791;729306,72;6886795,58;0;I;;Gare sur bretelle d echangeur                                                                       ;CHATEAU-THIERRY;Gare isolee;2;SANEF
01/01/2019;A0004;110;2;C;905;110986;752403,92;6895434,02;0;I;DORMANS;Sur echangeur (diffuseur)                                                                           ;DORMANS DIFFUSEUR;Gare isolee;2;SANEF
01/01/2019;A0004;132;51;C;50;132131;769236,05;6905742,86;0;I;;Gare sur bretelle d echangeur                                                                       ;THILLOIS;Gare isolee;51;SANEF
01/01/2019;A0004;133;51;C;130;133211;770220,85;6905303,48;0;I;;Gare sur bretelle d echangeur                                                                       ;ORMES;Gare isolee;51;SANEF
01/01/2019;A0004;138;51;C;730;138811;773548,81;6901331,29;0;I;DIF RD951;Sur echangeur (diffuseur)                                                                           ;PORTES DU VIGNOBLE - CHAMPFLEURY;Gare isolee;51;SANEF
01/01/2019;A0004;143;51;C;590;143671;778176,33;6901461,33;0;I;;Barriere pleine voie sur l autoroute;TAISSY;Gare isolee;51;SANEF
01/01/2019;A0004;170;51;C;800;170881;796688,91;6883353,48;0;I;LA VEUVE;Sur echangeur (diffuseur)                                                                           ;LA VEUVE;Gare isolee;51;SANEF
01/01/2019;A0004;171;51;C;10;171091;796886,06;6883278,07;0;I;LA VEUVE;Sur echangeur (diffuseur)                                                                           ;MOURMELON(CHALONS);Gare isolee;51;SANEF
01/01/2019;A0004;179;51;C;612;179693;805303,52;6882591,5;0;I;SAINT ETIENNE AU TEMPLE;Sur echangeur (diffuseur)                                                                           ;SAINT ETIENNE AU TEMPLE                 ;Gare isolee;51;SANEF
01/01/2019;A0004;212;51;C;198;212279;836596,57;6887533,58;0;I;SAINTE MENEHOULD;Sur echangeur (diffuseur)                                                                           ;SAINTE MENEHOULD                        ;Gare isolee;51;SANEF
01/01/2019;A0004;230;55;C;250;230331;853526,24;6890009,81;0;I;CLERMONT EN ARGONNE;Sur echangeur (diffuseur)                                                                           ;CLERMONT EN ARGONNE;Gare isolee;55;SANEF
01/01/2019;A0004;243;55;C;265;243346;866212,88;6890874,86;0;I;VOIE SACREE VERDUN;Sur echangeur (diffuseur)                                                                           ;VOIE SACRE;Gare isolee;55;SANEF
01/01/2019;A0004;254;55;C;0;254081;876035,42;6892753,91;0;I;VERDUN;Sur echangeur (diffuseur)                                                                           ;VERDUN;Gare isolee;55;SANEF
01/01/2019;A0004;270;55;C;338;270419;890950,21;6895025,63;0;I;FRESNES EN WOEVRE;Sur echangeur (diffuseur)                                                                           ;FRESNES EN WOEVRE;Gare isolee;55;SANEF
01/01/2019;A0004;292;54;C;811;292892;911048,86;6903691,66;0;I;JARNY;Sur echangeur (diffuseur)                                                                           ;JARNY;Gare isolee;54;SANEF
01/01/2019;A0004;294;54;C;719;294800;912946,84;6903819,57;0;I;;Barriere pleine voie sur l autoroute;BEAUMONT;Gare isolee;54;SANEF
01/01/2019;A0004;299;54;C;720;299801;917678,48;6903728,9;0;I;;Gare sur bretelle d echangeur                                                                       ;SAINTE MARIE (ENTREE);Gare isolee;57;SANEF
01/01/2019;A0004;299;54;C;720;299801;917678,48;6903728,9;0;I;;Gare sur bretelle d echangeur                                                                       ;SAINTE MARIE (SORTIE);Gare isolee;57;SANEF
01/01/2019;A0004;343;57;C;500;343581;952702,85;6898965,3;0;I;BOULAY;Gare sur bretelle d echangeur                                                                       ;BOULAY (ENTREE)                         ;Gare isolee;57;SANEF
01/01/2019;A0004;343;57;C;500;343581;952702,85;6898965,3;0;I;BOULAY;Gare sur bretelle d echangeur                                                                       ;BOULAY (SORTIE)                         ;Gare isolee;57;SANEF
